"^2THR ^3Daniel ^s1 "6
-473.65 359.316 142.756 0
-474.098 349.463 143.734 0
-474.376 339.445 144.866 0
-474.799 329.166 147.008 0
-475.061 318.746 150.546 0
-474.985 308.223 152.611 0
-475.14 297.582 154.402 0
-474.849 286.8 156.368 0
-474.637 275.907 157.917 0
-474.068 264.888 159.829 0
-473.192 253.788 161.609 0
-471.881 242.593 163.125 0
-469.927 231.382 164.729 0
-467.413 220.168 166.344 0
-465.857 208.769 167.607 0
-462.991 197.441 169.069 0
-460.128 186.048 170.519 0
-456.796 174.641 171.925 0
-452.988 163.274 173.43 0
-449.644 151.721 174.507 0
-445.594 140.25 175.924 0
-441.661 128.715 175.463 0
-437.414 117.167 177.616 0
-432.801 105.682 178.879 0
-428.455 94.0298 179.945 0
-423.652 82.4509 181.143 0
-418.542 70.9111 182.373 0
-413.206 59.3808 183.582 0
-409.087 47.3553 184.241 0
-403.877 35.6363 185.229 0
-398.302 24.0066 186.273 0
-393.112 12.2149 186.746 0
-387.226 0.626297 187.69 0
-380.981 -10.851 188.69 0
-375.45 -22.7187 189.393 0
-368.869 -34.1357 190.25 0
-361.86 -45.371 191.206 0
-355.673 -57.0438 191.788 0
-348.403 -68.2328 192.634 0
-340.673 -79.1869 193.634 0
-332.557 -89.9501 194.7 0
-325.596 -101.42 194.985 0
-317.202 -112.074 195.721 0
-308.228 -122.317 196.545 0
-299.684 -132.905 196.776 0
-290.123 -142.671 196.82 0
-279.972 -151.833 196.842 0
-269.022 -159.999 196.699 0
-257.945 -168.156 197.699 0
-246.1 -175.086 197.523 0
-233.652 -180.845 197.633 0
-221.301 -186.909 198.083 0
-208.301 -191.389 197.831 0
-195.043 -195.21 198.468 0
-181.538 -197.962 198.457 0
-167.864 -200.011 198.677 0
-154.095 -201.022 198.589 0
-140.253 -201.118 198.962 0
-126.476 -200.12 198.798 0
-112.881 -197.752 198.292 0
-99.0703 -195.78 199.523 0
-85.6705 -192.2 199.6 0
-72.4678 -187.826 199.841 0
-59.6216 -182.602 199.501 0
-47.2011 -176.49 199.072 0
-35.4948 -169.17 198.644 0
-23.6906 -161.777 199.259 0
-12.9588 -153.069 198.809 0
-2.4118 -143.961 199.633 0
7.21976 -134.014 199.105 0
15.8048 -123.204 198.644 0
24.5207 -112.326 199.556 0
31.9713 -100.648 199.468 0
39.5624 -88.9348 200.479 0
46.2723 -76.7305 200.709 0
52.2454 -64.1238 201.127 0
58.8933 -51.787 201.555 0
64.7057 -39.0129 202.017 0
70.2451 -26.1006 202.632 0
75.9727 -13.2058 203.016 0
81.626 -0.270309 203.654 0
87.8919 12.4276 203.895 0
94.7371 24.8149 203.698 0
102.069 36.9209 203.917 0
110.267 48.4052 203.203 0
119.032 59.4563 203.06 0
128.548 69.8341 202.39 0
138.782 79.4055 201.017 0
149.632 88.0347 198.193 0
160.994 95.5694 194.744 0
172.812 101.897 191.404 0
184.888 107.246 189.042 0
197.292 111.22 186.24 0
209.723 114.072 181.758 0
222.097 115.555 178.066 0
234.371 115.976 175.507 0
246.489 115.318 173.749 0
258.458 113.752 173.859 0
270.155 110.832 173.276 0
281.464 106.792 172.727 0
292.305 101.687 172.474 0
302.734 95.7805 172.859 0
312.042 88.3535 171.497 0
320.772 80.3059 171.387 0
328.66 71.4485 170.804 0
335.752 61.932 171.035 0
341.568 51.6658 170.024 0
346.467 40.9471 169.98 0
350.076 29.7516 169.893 0
352.719 18.2992 169.915 0
354.537 6.65591 170.09 0
355.09 -5.06947 169.761 0
354.918 -16.8538 170.09 0
353.194 -28.4043 168.816 0
350.625 -39.7887 168.442 0
347.269 -51.0013 168.607 0
342.335 -61.5061 167.772 0
336.777 -71.7578 168.376 0
329.789 -80.9798 167.377 0
322.281 -89.8712 168.036 0
313.848 -97.8953 168.673 0
304.956 -105.528 169.926 0
295.747 -112.989 171.497 0
286.339 -120.224 172.716 0
276.65 -127.386 174.32 0
267.005 -134.593 175.133 0
257.061 -141.678 176.583 0
246.984 -148.663 177.177 0
236.743 -155.577 178.198 0
226.434 -162.522 179.626 0
216.044 -169.509 181 0
205.622 -176.609 182.34 0
195.379 -184.006 183.516 0
184.96 -191.417 184.933 0
174.365 -198.562 185.889 0
163.537 -205.555 186.515 0
152.428 -212.289 187.833 0
140.889 -218.323 188.657 0
129.046 -223.972 189.624 0
116.855 -229 190.525 0
104.409 -233.125 190.756 0
91.6647 -236.78 191.437 0
78.7375 -239.766 191.975 0
65.5873 -241.972 192.228 0
52.3134 -243.319 192.557 0
38.936 -244.013 193.392 0
25.4904 -244.528 194.381 0
12.0102 -245.286 195.172 0
-1.53221 -246.329 196.029 0
-14.9702 -248.055 196.161 0
-28.4065 -250.357 196.414 0
-41.584 -253.583 196.062 0
-54.5576 -257.679 195.886 0
-67.2908 -262.415 195.864 0
-79.5884 -268.185 195.809 0
-91.5105 -274.71 195.513 0
-102.776 -282.225 195.161 0
-113.463 -290.525 194.711 0
-123.415 -299.591 194.403 0
-132.664 -309.387 194.041 0
-140.917 -319.92 192.843 0
-148.31 -331.05 192.129 0
-154.64 -342.777 191.667 0
-158.43 -355.207 187.866 0
-162.014 -367.737 187.416 0
-163.947 -380.488 185.911 0
-164.873 -393.302 184.757 0
-164.687 -406.104 184.351 0
-163.497 -418.843 184.625 0
-161.889 -431.608 185.889 0
-160.296 -444.419 186.91 0
-158.729 -457.339 188.02 0
-157.13 -470.27 188.855 0
-155.45 -483.31 189.91 0
-153.603 -496.405 190.986 0
-151.586 -509.548 192.03 0
-150.187 -522.664 192.327 0
-148.196 -535.905 193.326 0
-146.684 -549.202 193.744 0
-144.878 -562.563 194.601 0
-142.988 -575.972 195.425 0
-141.961 -589.446 195.601 0
-140.244 -602.94 196.271 0
-138.766 -616.458 196.776 0
-136.951 -630.014 197.347 0
-135.573 -643.578 197.402 0
-134.026 -657.212 198.018 0
-132.84 -670.856 198.171 0
-131.486 -684.56 198.721 0
-129.964 -698.285 199.27 0
-128.967 -711.991 199.248 0
-127.488 -725.761 199.775 0
-126.03 -739.512 199.962 0
-124.202 -753.261 200.105 0
-121.934 -766.974 200.314 0
-119.019 -780.565 200.292 0
-115.194 -793.914 199.819 0
-110.589 -806.981 199.819 0
-105.094 -819.706 199.402 0
-98.8238 -832.058 199.753 0
-91.8278 -844.018 199.424 0
-84.0802 -855.487 199.611 0
-75.6507 -866.468 199.105 0
-66.4097 -876.726 198.787 0
-56.4844 -886.273 197.974 0
-45.8296 -894.942 197.82 0
-34.5985 -902.878 197.578 0
-22.8738 -909.961 197.018 0
-10.622 -916.032 196.831 0
1.94899 -921.369 196.6 0
14.8278 -925.961 196.853 0
27.9447 -929.85 196.952 0
41.2354 -933.013 196.622 0
54.7383 -935.323 196.897 0
68.3332 -936.639 196.425 0
81.9432 -937.003 195.579 0
95.4943 -936.083 194.656 0
108.813 -933.884 193.689 0
121.814 -930.67 192.063 0
134.338 -926.167 190.404 0
146.264 -920.654 187.943 0
157.42 -914.086 184.988 0
167.678 -906.548 181.846 0
177.13 -898.206 181.055 0
185.92 -889.22 181.23 0
194.055 -879.605 181.857 0
200.753 -868.968 180.22 0
207.075 -858.217 179.264 0
212.229 -846.908 179.33 0
216.481 -835.244 179.044 0
219.792 -823.287 179.088 0
222.185 -811.092 179.572 0
224.257 -798.859 178.462 0
227.07 -786.925 175.792 0
230.915 -775.417 174.122 0
235.79 -764.398 173.496 0
241.644 -753.943 172.343 0
248.519 -744.281 170.057 0
256.395 -735.631 168.069 0
265.141 -727.942 167.838 0
274.543 -721.046 168.695 0
284.888 -715.65 167.64 0
295.622 -711.14 168.113 0
306.876 -708.273 167.344 0
318.319 -706.269 167.871 0
329.875 -706.091 166.75 0
341.333 -707.181 165.916 0
352.607 -709.42 165.806 0
363.665 -712.688 166.783 0
374.715 -716.295 168.168 0
385.893 -719.218 165.421 0
397.097 -721.097 162.356 0
408.233 -721.72 159.203 0
419.116 -720.949 155.599 0
429.667 -719.12 152.787 0
439.698 -715.821 150.963 0
449.155 -711.388 149.996 0
458.04 -705.875 150.513 0
466.16 -699.309 150.59 0
473.349 -691.747 150.161 0
479.85 -683.558 150.941 0
484.942 -674.426 150.656 0
489.03 -664.836 150.425 0
492.174 -654.872 150.82 0
494.307 -644.583 151.963 0
494.43 -634.093 151.194 0
493.917 -623.595 151.831 0
492.485 -613.12 152.963 0
490.372 -602.678 153.973 0
487.756 -592.25 155.687 0
484.919 -581.739 157.5 0
481.645 -571.247 159.181 0
478.571 -560.593 160.741 0
475.487 -549.84 161.96 0
472.529 -538.94 163.542 0
470.211 -527.797 164.553 0
468.246 -516.502 165.817 0
467.195 -505.042 166.256 0
466.897 -493.485 166.827 0
467.267 -481.887 167.717 0
468.186 -470.232 168.64 0
469.85 -458.606 169.442 0
472 -446.993 170.53 0
474.291 -435.333 171.969 0
476.051 -423.502 172.848 0
477.015 -411.831 167.805 0
477.406 -400.902 153.556 0
477.284 -390.806 139.702 0
476.477 -381.507 128.342 0
475.093 -372.832 122.355 0
473.023 -364.622 120.388 0
470.136 -356.8 119.191 0
466.427 -349.451 117.554 0
461.858 -342.842 114.357 0
456.419 -337.077 114.357 0
450.112 -332.143 115.95 0
443.179 -327.986 117.048 0
435.626 -324.856 118.586 0
427.441 -323.829 118.334 0
419.222 -323.675 119.333 0
410.998 -324.757 120.608 0
402.788 -326.699 122.629 0
394.705 -329.571 124.871 0
386.888 -333.279 126.255 0
379.236 -337.727 128.76 0
371.636 -342.602 131.649 0
363.992 -347.711 133.945 0
356.288 -353.105 136.912 0
348.62 -358.878 139.636 0
340.642 -364.407 141.768 0
332.83 -370.54 144.349 0
324.735 -376.493 146.129 0
316.698 -382.773 147.92 0
308.592 -389.202 150.161 0
300.462 -395.852 152.336 0
291.983 -402.172 153.973 0
283.532 -408.829 156.017 0
274.759 -415.224 157.819 0
265.898 -421.79 159.851 0
256.726 -427.982 161.246 0
247.434 -434.34 163.136 0
237.99 -440.712 165.048 0
228.259 -446.666 166.19 0
218.387 -452.754 167.97 0
208.329 -458.782 169.75 0
197.887 -464.205 170.98 0
187.325 -469.746 172.617 0
176.513 -475.044 174.21 0
165.437 -480.04 175.77 0
154.123 -484.175 176.199 0
142.565 -488.318 177.506 0
130.864 -491.861 176.583 0
118.886 -494.919 177.726 0
106.738 -497.342 178.824 0
94.4552 -499.214 179.637 0
82.0339 -500.677 180.659 0
69.523 -501.784 181.736 0
56.8952 -502.389 182.626 0
44.1863 -502.348 183.527 0
31.4771 -502.375 184.241 0
18.6721 -501.646 185.284 0
5.78331 -500.951 186.592 0
-7.15117 -499.713 187.778 0
-20.133 -498.794 188.778 0
-33.161 -497.619 188.91 0
-46.2277 -496.305 189.316 0
-59.2815 -495.104 189.086 0
-72.3898 -493.744 190.635 0
-85.5381 -492.248 190.854 0
-98.6916 -490.605 190.931 0
