"^1[GRT] ^3Wheldon ^9^s2 "70
-475.087 449.945 110.544 0
-474.324 442.23 112.896 0
-474.025 434.291 115.862 0
-474.016 426.151 118.861 0
-474.192 417.812 121.476 0
-474.505 409.268 124.75 0
-474.941 400.515 127.793 0
-475.409 391.552 130.781 0
-475.376 382.504 132.847 0
-475.616 373.209 135.33 0
-475.846 363.718 138.164 0
-476 354.035 140.856 0
-475.77 344.261 142.723 0
-475.733 334.263 145.305 0
-475.676 324.14 146.975 0
-475.638 313.866 148.766 0
-475.575 303.46 151.007 0
-475.45 292.902 153.171 0
-475.084 282.223 154.973 0
-474.567 271.43 156.841 0
-473.743 260.511 158.665 0
-472.446 249.511 160.444 0
-470.726 238.551 161.521 0
-468.459 227.512 163.125 0
-465.994 216.436 164.597 0
-462.93 205.368 166.245 0
-460.031 194.178 167.662 0
-456.484 183.034 169.222 0
-452.943 171.824 170.343 0
-449.034 160.599 171.969 0
-444.759 149.392 173.518 0
-440.77 138.035 173.771 0
-436.418 126.691 175.638 0
-431.886 115.314 177.089 0
-427.149 103.913 178.495 0
-422.758 92.3481 179.495 0
-417.93 80.8059 180.846 0
-413.407 69.1422 181.45 0
-408.619 57.4425 182.692 0
-403.707 45.7003 183.922 0
-399.042 33.8239 184.867 0
-394.044 21.9572 186.01 0
-389.02 10.1403 186.284 0
-383.664 -1.66544 187.317 0
-378.053 -13.4327 188.273 0
-372.102 -25.1077 189.218 0
-365.76 -36.6494 190.151 0
-359.22 -47.9647 190.239 0
-352.249 -59.2236 191.217 0
-344.912 -70.3305 192.261 0
-337.236 -81.2933 193.326 0
-330.216 -92.58 192.03 0
-322.236 -103.43 193.997 0
-313.854 -114.018 194.952 0
-305.48 -124.673 195.469 0
-296.508 -134.894 196.128 0
-287.108 -144.733 196.326 0
-277.063 -153.934 196.183 0
-266.344 -162.354 196.315 0
-255.037 -169.948 195.985 0
-243.226 -176.75 196.183 0
-230.898 -182.528 196.007 0
-218.267 -187.734 196.425 0
-205.285 -192.087 197.073 0
-192.071 -195.698 197.303 0
-178.655 -198.534 197.38 0
-165.057 -200.189 197.216 0
-151.347 -201.38 197.688 0
-137.637 -201.123 197.227 0
-124.046 -199.417 196.776 0
-110.342 -198.058 197.622 0
-96.904 -195.037 198.215 0
-83.6815 -191.165 198.479 0
-70.5355 -186.903 198.864 0
-57.7684 -181.645 198.765 0
-45.5548 -175.233 198.655 0
-33.278 -168.833 198.765 0
-21.8316 -161.066 198.853 0
-11.0436 -152.481 198.226 0
-0.836975 -143.157 198.501 0
8.55666 -133.087 198.149 0
16.9772 -122.207 198.182 0
25.7661 -111.397 199.193 0
33.327 -99.8076 199.27 0
40.0043 -87.6879 199.446 0
46.9391 -75.6582 199.808 0
52.9198 -63.1192 200.347 0
59.1097 -50.5682 200.984 0
65.0305 -37.8652 201.698 0
70.8916 -25.1177 202.412 0
76.673 -12.2791 203.137 0
83.1195 0.269196 203.137 0
89.3431 12.9576 203.873 0
96.0404 25.4275 203.818 0
103.35 37.5701 203.763 0
111.32 49.2444 203.401 0
120.299 60.0644 202.302 0
129.906 70.2747 201.379 0
140.254 79.5771 199.666 0
151.31 87.8485 198.083 0
162.955 95.032 196.37 0
175.086 101.1 194.205 0
187.493 106.167 191.81 0
200.146 109.848 188.987 0
212.938 112.333 186.471 0
225.739 113.62 184.614 0
